Send Rates,Block Size,Avg Latency,Throughput
60.3,400,1.32,59.6
60.3,410,1.26,53.5
60.3,420,1.26,54
60.3,430,1.26,54.2
60.2,440,1.26,53.5
60.3,450,1.26,54
60.3,460,1.25,53.9
60.3,470,1.25,54.5
60.3,480,1.26,53.8
60.2,490,1.24,54
60.2,500,1.26,53.6
60.3,510,1.25,54
60.3,520,1.24,54.2
60.2,530,1.27,53.6
60.2,540,1.25,53.6
60.3,550,1.27,53.5
60.3,560,1.27,53.6
60.3,570,1.27,53.5
60.2,580,1.26,59.4
60.3,590,1.26,53.6
60.2,600,1.25,53.6
60.3,610,1.26,53.7
60.3,620,1.27,59.4
60.3,630,1.28,53.6
60.2,640,1.26,53.6
60.3,650,1.32,54.1
60.3,660,1.29,53.6
60.3,670,1.25,59.3
60.2,680,1.31,53.7
60.3,690,1.31,53.9
60.3,700,1.31,54.1
60.3,710,1.31,53.6
60.3,720,1.33,59.4
60.3,730,1.27,53.4
60.3,740,1.27,53.6
60.3,750,1.25,54
60.2,760,1.26,54
60.2,770,1.27,53.8
60.2,780,1.25,53.6
60.3,790,1.26,53.8
60.3,800,1.3,53.8
65.3,10,0.08,65.2
65.3,20,0.17,65.1
65.3,30,0.33,57.8
65.2,40,0.36,65
65.3,50,0.58,59.6
65.3,60,0.64,59.3
65.3,70,0.66,58.2
65.3,80,0.78,59.2
65.3,90,0.85,57.7
65.3,100,0.93,64.9
65.3,110,1.05,57.8
65.3,120,1.17,58.9
65.3,130,1.23,60.8
65.3,140,1.25,61.3
65.2,150,1.3,60.4
65.2,160,1.24,61.4
65.3,170,1.25,60.8
65.3,180,1.29,60.6
65.3,190,1.23,60.7
65.2,200,1.23,60.6
65.3,210,1.24,60.8
65.3,220,1.25,60.8
65.3,230,1.22,61.3
65.3,240,1.25,61.1
65.3,250,1.25,61.3
65.2,260,1.3,60.7
65.2,270,1.26,61.2
65.3,280,1.25,61.3
65.3,290,1.24,60.8
65.2,300,1.23,60.8
65.3,310,1.24,60.9
65.2,320,1.24,60.9
65.3,330,1.27,60.6
65.3,340,1.26,60.8
65.3,350,1.22,61.4
65.3,360,1.22,60.7
65.3,370,1.23,60.7
65.3,380,1.24,60.7
65.3,390,1.3,60.7
65.3,400,1.26,61.4
